S.No,e-Published Date,Closing Date,Opening Date,Title and Ref.No./Tender ID,Organisation Chain
1,2/7/2023 16:20,2/13/2023 15:00,2/15/2023 14:30,"[Comprehensive Maintenance, Monitoring and general maintenance of different Electromechanical services for Malancha T.E bldg. Dist. West Medinipur., SSA Kharagpur under BSNL Electrical Division, Kharagpur in Kharagpur OA.( 5th Call)] [08/BSNL/ED KGP/2022 23,Dated 22.06.2022(5th Call)][2023_BSNL_144494_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||West Bengal Telecom Circle||CE (Electrical)
2,2/7/2023 16:00,2/13/2023 15:00,2/15/2023 14:30,"[Comprehensive Maintenance,Monitoring and General Maintenance of different Electro Mechanical Services in RSU Bogda TE Bldg. Dist West Medinipur under BSNL Electrical Division, Kharagpur in Kharagpur OA. ( 5th Call )] [07/BSNL/ED-KGP/2022-23,Dated 21.06.2022 (5th Call)][2023_BSNL_144487_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||West Bengal Telecom Circle||CE (Electrical)
3,2/7/2023 16:00,2/21/2023 15:00,2/22/2023 15:00,"[OPEN TENDER ENQUIRY FOR SUPPLY AND INSTALLATION OF CCTV CAMERAS AT HBL LAURIYA PLANT, WEST CHAMPARAN, BIHAR 845453.] [HBL/TEN/PUB/22-23/304][2023_HPCLB_144486_1]",HPCL Biofuels Limited||Purchase (Patna)
4,2/7/2023 15:30,2/13/2023 15:00,2/15/2023 14:30,"[Comprehensive Maintenance of Window, Split AC units, AFD System and Operation, monitoring and General Maintenance of different Electro-Mechanical Services in Bankura TE and adjacent CSC Bldg., Bankura.( 4th Call)] [25/BSNL/ED-KGP/2022-23, Dated16.11.2022 (4th Call)][2023_BSNL_144473_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||West Bengal Telecom Circle||CE (Electrical)
5,2/7/2023 15:05,2/14/2023 15:30,2/15/2023 15:30,[Installation of Shade Net house at Saket Nursery in Ward No.154 South Zone] [ DDH/SZ/ MCD/2022-23/3410/ NIT No.01 ][2023_MCD_144443_2],Municipal Corporation of Delhi||Horticulture Department - MCD
6,2/7/2023 15:00,2/28/2023 16:30,3/1/2023 16:30,[Supply and Installation of High-End Stereozoom Trinocular Microscope] [3(POQ)/138/21-22/PUR/T-49][2023_CSIR_144463_1],Council of Scientific and Industrial Research||NEIST-Jorhat - CSIR||Purchase-NEIST - CSIR
7,2/7/2023 15:00,2/14/2023 15:30,2/15/2023 15:30,[Installation of Shade Net house at Vasant Vihar Nursery in Ward No.153 South Zone] [ DDH/SZ/ MCD/2022-23/3410/ NIT No.01 ][2023_MCD_144443_1],Municipal Corporation of Delhi||Horticulture Department - MCD
8,2/7/2023 15:00,2/21/2023 15:00,2/22/2023 16:00,"[Tender for Rate Contract for the period of 2 (Two) years for comprehensive AMC of CCTV, materials required during AMC period for installed CCTV and to upgrade existing CCTV HD cameras to IP cameras installed at MNGL MS, NRO CNG Stations.] [MNGL/CP/2022-23/198][2023_MNGL_144436_1]",Maharashtra Natural Gas Ltd.||Corporate Office Pune||Contracts and Procurement
9,2/7/2023 13:00,2/11/2023 17:00,2/13/2023 11:00,"[Desiliting of Drains having depth more than 4 feet - Desilting of drains / nallas by hiring JCB, Tipepers, Pocklain etc at Ward No. -70 and 71 under the jurisdiction of M-I City-SPZ.] [EE_M_I_City _CSPZ_TC_ 2022-23_ 20_1][2023_NDMC_144420_1]",North Delhi Municipal Corporation||Enigeering Electric -North DMC
10,2/7/2023 12:50,2/22/2023 11:00,2/23/2023 11:30,[Overlay work on Jagadhari-Poanta Sahib old NH-73A (New NH-907) from km 2.500 to km. 5.000 and from km. 5.000 to km 7.520 LHS and from km. 9.400 to km 15.635 in the State of Haryana (2nd Call).] [PD-CHD/JAG-PONTA/NH-73A/RFP][2023_NHAI_144444_1],National Highways Authority of India||RO-Chandigarh - NHAI
11,2/7/2023 11:00,2/28/2023 12:30,3/1/2023 12:30,"[Supply, turn-key installation and commissioning of food processing plant of multipurpose application] [1(PEQ/05/22-23/PUR][2023_CSIR_144412_1]",Council of Scientific and Industrial Research||NEIST-Jorhat - CSIR||Purchase-NEIST - CSIR
12,2/7/2023 11:00,2/16/2023 11:00,2/17/2023 11:30,"[AMC of Water Purifier unit of Eureka Forbes installed at different campuses of NIScPR, New Delhi i.e. At Pusa , SVM and Maharani Bagh] [11(4)/NIScPR/G/2023][2023_CSIR_144246_1]",Council of Scientific and Industrial Research||NIScPR-Delhi-CSIR||Administration - NIScPR - CSIR
13,2/7/2023 11:00,2/13/2023 14:00,2/14/2023 14:30,[Engaging two trucks for lifting /removing of floating material from Gokalpur drain to maintain the flow in drain falling under the Jurisdiction ward no. 229 Brahmpuri Shah. (N) Zone.] [EE M II Shah N 2022-23-11-02][2023_MCD_144393_1],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD
14,2/7/2023 10:00,2/27/2023 15:00,2/28/2023 15:00,[Operation of Apron Drive Glass Walled Passenger Boarding Bridge and Visual Docking Guidance System at Surat Airport for 2023-26.] [AAI/SRT/AGM(E-E)/eNIT-08/22-23][2023_AAI_144315_1],Airports Authority of India||Western Region - AAI||SURAT - AAI||ENGG ELECT-VASU - AAI
15,2/7/2023 9:00,2/14/2023 14:30,2/15/2023 15:00,"[Annual contract for supply of Air Conditioning items required for Maintenance purpose at Institute (Non R and D areas), Colony (Dispensary and Guest House) along with few installations and relocation of split type AC units at Institute and Colony] [36/46/22-23/RAC/Maint/ESD/Re][2023_CSIR_143998_1]",Council of Scientific and Industrial Research||CMERI-Durgapur - CSIR||ESD-CMERI - CSIR
16,2/7/2023 9:00,2/14/2023 14:30,2/15/2023 15:00,"[Annual contract for supply of electrical items required for Maintenance purpose at Institute along with few installation, CSIR-CMERI, Durgapur] [35/47/22-23/EI/ESD/Maint/Re][2023_CSIR_144019_1]",Council of Scientific and Industrial Research||CMERI-Durgapur - CSIR||ESD-CMERI - CSIR
17,2/6/2023 18:50,2/16/2023 15:00,2/18/2023 16:00,"[Comprehensive maintenance and operation, monitoring and general maintenance of different electro-mechanical services at Coaxial TE staff quarters Burdwan, OA-Burdwan of Asansol BA.(2nd call)] [36/BSNL ED-ASL/2022-23 (2nd call) dated 06.02.2023][2023_BSNL_144401_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||West Bengal Telecom Circle||CE (Electrical)
